Order,PID,MS SubClass,MS Zoning,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1,526301100,20,RL,17727.75,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5.0,1960.0,1960,Hip,CompShg,BrkFace,Plywood,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,639.0,Unf,0.0,441.0,1080.0,GasA,Fa,Y,SBrkr,1656.0,0.0,0,1656.0,1.0,0.0,1.0,0,3.0,1,TA,7,Typ,2.0,2.0,528.0,P,210,62,0,0,0,0,0,5,2010,WD ,Normal,215000
2,526350040,20,RH,11622.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6.0,1961.0,1961,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,0.0,270.0,882.0,GasA,TA,Y,SBrkr,896.0,0.0,0,896.0,0.0,0.0,1.0,0,2.0,1,TA,5,Typ,0.0,1.0,730.0,Y,140,0,0,0,0,0,0,6,2010,WD ,Normal,105000
3,526351010,20,RL,14267.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6.0,1958.0,1958,Hip,CompShg,Wd Sdng,Wd Sdng,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,TA,Y,SBrkr,1329.0,0.0,0,1329.0,0.0,0.0,1.0,1,3.0,1,Gd,6,Typ,0.0,1.0,312.0,Y,393,36,0,0,0,0,0,6,2010,WD ,Normal,172000
4,526353030,20,RL,11160.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5.0,1968.0,1968,Hip,CompShg,BrkFace,BrkFace,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,1065.0,Unf,0.0,1045.0,2064.25,GasA,Ex,Y,SBrkr,2110.0,0.0,0,2110.0,1.0,0.0,2.0,1,3.0,1,Ex,8,Typ,2.0,2.0,522.0,Y,0,0,0,0,0,0,0,4,2010,WD ,Normal,244000
5,527105010,60,RL,13830.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5.0,1997.0,1998,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,137.0,928.0,GasA,Gd,Y,SBrkr,928.0,701.0,0,1629.0,0.0,0.0,2.0,1,3.0,1,TA,6,Typ,1.0,2.0,482.0,Y,212,34,0,0,0,0,0,3,2010,WD ,Normal,189900
6,527105030,60,RL,9978.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6.0,1998.0,1998,Gable,CompShg,VinylSd,VinylSd,20.0,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,0.0,324.0,926.0,GasA,Ex,Y,SBrkr,926.0,678.0,0,1604.0,0.0,0.0,2.0,1,3.0,1,Gd,7,Typ,1.0,2.0,470.0,Y,360,36,0,0,0,0,0,6,2010,WD ,Normal,195500
7,527127150,120,RL,4920.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5.0,2001.0,2001,Gable,CompShg,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,616.0,Unf,0.0,722.0,1338.0,GasA,Ex,Y,SBrkr,1338.0,0.0,0,1338.0,1.0,0.0,2.0,0,2.0,1,Gd,6,Typ,0.0,2.0,582.0,Y,0,0,0,0,0,0,0,4,2010,WD ,Normal,213500
8,527145080,120,RL,5005.0,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5.0,1992.0,1992,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,263.0,Unf,0.0,1017.0,1280.0,GasA,Ex,Y,SBrkr,1280.0,0.0,0,1280.0,0.0,0.0,2.0,0,2.0,1,Gd,5,Typ,0.0,2.0,506.0,Y,0,82,0,0,0,0,0,1,2010,WD ,Normal,191500
9,527146030,120,RL,5389.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5.0,1995.0,1996,Gable,CompShg,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1180.0,Unf,0.0,415.0,1595.0,GasA,Ex,Y,SBrkr,1616.0,0.0,0,1616.0,1.0,0.0,2.0,0,2.0,1,Gd,5,Typ,1.0,2.0,608.0,Y,237,152,0,0,0,0,0,3,2010,WD ,Normal,236500
10,527162130,60,RL,7500.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5.0,1999.0,1999,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,994.0,994.0,GasA,Gd,Y,SBrkr,1028.0,776.0,0,1804.0,0.0,0.0,2.0,1,3.0,1,Gd,7,Typ,1.0,2.0,442.0,Y,140,60,0,0,0,0,0,6,2010,WD ,Normal,189000
